#################################################################################################################################
# Volcano-tectonic architecture of Bioko Island (Equatorial Guinea) derived from TanDEM-X synthetic aperture radar data
# Supplementary Material – Bulletin of Volcanology
#
# Jacob Brauner (1), Thomas R. Walter (2), Oscar A.N. Ela (3), Loÿc Vanderkluysen (1)
# 
# (1) Drexel University, Philadelphia, PA, USA
# (2) Deutsches GeoForschungsZentrum GFZ, Potsdam, Germany
# (3) Universidad Nacional de Guinea Ecuatorial, Malabo, Equatorial Guinea
# Corresponding Author: JB, email: jb4356@drexel.edu
#################################################################################################################################

OBJECTID;LAT;LON;Proj_E;Proj_N;ElevMin;ElevMax;AreaBase;WidthBase;AxisBaseMin(s);AxisBaseMax(s);AxisBaseMean(s);AxisBaseMin(bc);AxisBaseMax(bc);AxisBaseMean(bc);AxisBaseMax;ElevLowCurve;ElevLowCurveFraction;AreaLowCurve;WidthLowCurve;AxisLowCurve;ElevSummitReg;ElevSummitRegFraction;AreaSummitReg;WidthSummitReg;AxisSummitRegMax(cont);HeightMax;HeightPoly1;HeightTIN;HeightIDW;VolMax;VolPoly1;VolTIN;VolIDW;EIoutline;IIoutline;EIavg;IIavg;HWratioPOLY1;HWratioTIN;HWratioIDW;WWratio(cont);SlopeMin(tot);SlopeMax(tot);SlopeMean(tot);SlopeMedian(tot);SlopeSD(tot);SlopeMean(flank);SlopeMedian(flank);SlopeSD(flank);SlopeMean(lowflank);SlopeMedian(lowflank);SlopeSD(lowflank);SlopeMean(mainflank);SlopeMedian(mainflank);SlopeSD(mainflank);SlopeMean(summit);SlopeMedian(summit);SlopeSD(summit);ElevSlopeMax;HeightFracSlopeMax;SlopeAvgMax;AzimAxisBaseMax(s);AzimAxisBaseMax(bc);AzimAxisBaseMax;AzimCurvesAvg;PeaksNumTot;PeaksNumFlank;PeaksNumSummit;HolesNumTot;HolesNumFlank;HolesNumSummit;NumMainCurvesFlank;NumMainCurvesSummit;NumSlopeBins
1;3.5502003;8.7328791;470332.69;392413.12;1887.45;2004.53;0.102384;361.05312;309.79983;403.59969;349.26313;296.73509;410.51246;353.86695;419.82852;1971;0.713612;0.032634126;203.84077;253.86179;2002;0.978378;0.002543625;56.909085;91.441895;117.084;67.1548;60.7427;70.1974;0.007668204;0.00253765;0.002012487;0.002798864;1.3520777;1.0665395;1.71888;1.06277;0.18599697;0.16823751;0.19442399;0.1576197;1.74931;33.2515;21.8179;22.9331;6.22031;22.3098;23.1144;5.76914;22.0678;22.9331;6.07587;23.1167;23.1828;4.63938;10.6279;14.6871;6.29059;1974;0.739234;30.6997;33.6901;38.6598;59.0362;35.7289;0;0;0;0;0;0;32;2;118
2;3.7293596;8.8748272;486100.69;412213.12;313.059;420.785;0.11016;374.5131;293.84201;376.99688;342.12239;324;425.9143;377.55004;433.4974;379;0.612116;0.060536614;277.62854;327.45736;407;0.872035;0.01078926;117.20628;187.6133;107.726;63.3296;61.8068;67.9526;0.008225194;0.003585113;0.003239989;0.003847019;1.3397969;1.0644593;1.63682;1.10009;0.16909846;0.16503231;0.18144245;0.31295643;0.608963;36.7169;18.7571;19.5655;9.17638;20.066;21.4955;8.79495;20.8616;21.6249;8.70494;18.8157;20.2013;8.916;8.94064;8.38648;5.30866;386;0.677096;35.0378;26.5651;30.9638;41.6335;63.3751;2;1;1;0;0;0;29;13;108
3;3.7290338;8.8735304;485956.69;412177.12;317.374;431.97;0.193104;495.85042;196.99686;581.95878;350.20425;353.9143;655.90356;513.79208;669.63874;419;0.886821;0.029872102;195.02395;266.39144;427;0.956632;0.005778689;85.776772;160.81217;114.596;58.5223;47.5945;45.0225;0.016264772;0.004525356;0.002697156;0.003451217;1.8238108;1.2328906;2.49545;1.3981;0.11802418;0.095985502;0.090798595;0.17298921;0.97858;33.2896;16.1502;15.8126;7.77333;16.5358;16.0861;7.65827;17.4605;17.0348;7.56115;10.1513;8.83884;4.81936;8.14924;8.00363;5.84984;420;0.895548;13.2814;9.46232;40.6013;36.2538;154.538;4;4;0;0;0;0;9;4;115
4;3.6417466;8.85701;484120.69;402529.12;1140.92;1278.95;0.127656;403.15836;72;402.49223;291.07638;360;434.97946;396.31466;445.29541;1275;0.971379;0.000456685;24.113689;62.152576;1278;0.993113;2.64E-05;5.802103;14.954813;138.032;34.601;35.3701;35.8422;0.011919421;0.001447166;0.001135337;0.002013995;1.2199586;1.0836151;6.64341;1.03685;0.085824717;0.087732566;0.088903435;0.014391623;3.57604;36.2437;17.5495;16.0653;6.87362;17.6418;16.0653;6.83113;17.7245;16.0987;6.80324;8.21565;8.21565;0;6.93556;6.93556;0;1277;0.985869;8.21565;100.305;80.5377;75.9638;0;2;2;0;0;0;0;4;0;139
5;3.6287205;8.8664129;485164.69;401089.12;839.082;1034;0.256608;571.59727;362.97946;737.7272;568.66271;396;829.63298;614.57986;835.01374;1027;0.96409;0.003016207;61.970588;109.33945;1033;0.994872;2.58E-05;5.7308128;11.695513;194.918;56.5635;52.6345;53.8895;0.035599447;0.004696182;0.00404291;0.004591725;2.1340616;1.0838522;3.79535;1.02185;0.098956976;0.092083227;0.09427873;0.010025962;1.04065;37.8423;17.1708;17.4699;7.98987;17.2232;17.6573;7.96895;17.3951;17.9207;7.97324;9.69383;8.93543;1.78057;5.4374;5.4374;0;1030;0.979481;10.2182;104.036;95.1944;97.4314;81.1912;2;2;0;2;2;0;7;0;195
6;3.5710398;8.7179625;468676.69;394717.12;1863.4;1998.01;0.163944;456.8807;292.43178;545.95892;433.30281;360;542.55841;467.48982;550.69409;1991;0.947911;0.012874696;128.03348;168.28526;1991;0.947911;0.012874696;128.03348;168.28526;134.616;50.5765;46.105;56.0604;0.015984629;0.00309935;0.002146085;0.003831122;1.4528313;1.1078271;1.72761;1.05457;0.11069966;0.10091251;0.12270254;0.28023394;0.505272;30.2975;16.6648;16.7579;6.23253;17.567;17.6098;5.58413;17.567;17.6098;5.58413;-1;-1;-1;6.51506;6.52029;3.6522;1991;0.947911;10.919;99.4623;81.8699;101.31;115.331;3;3;0;0;0;0;1;7;136
7;3.3798064;8.5689441;452116.69;373585.12;1225.45;1313.85;0.076464;312.02081;260.73506;335.68399;293.28899;256.43182;340.99688;306.65904;341.52597;1298;0.820719;0.022389282;168.83992;216.71593;1301;0.854657;0.014843417;1.37E+02;156.79171;88.3986;37.4277;29.8833;35.4651;0.005313106;0.000958986;0.000784412;0.001147757;1.1980649;1.0578378;1.55937;1.06094;0.11995269;0.095773422;0.11366257;0.44059385;1.7678;34.041;14.6567;13.2298;8.51601;15.5113;14.7744;8.84916;15.8568;15.0342;9.01685;12.8464;13.6813;7.45222;9.91742;10.9982;3.9875;1300;0.843344;20.5404;161.565;116.565;108.435;171.764;0;0;0;0;0;0;4;12;89
8;3.5593266;8.7584836;473176.69;393421.12;2162.72;2287.69;0.228096;538.90708;443.68403;556.99691;505.40821;478.08397;614.24121;534.15565;612;2266;0.826448;0.017703082;1.50E+02;192.82324;2287;0.994483;0.000110043;1.18E+01;47.807041;124.974;63.9946;64.4629;64.6855;0.01548195;0.003611717;0.003306128;0.003640899;1.2896595;1.064389;3.28213;1.03142;0.11874891;0.11961782;0.12003098;0.021964596;0.431153;30.1481;16.8044;16.4729;6.98459;16.8678;16.723;6.94461;16.7841;16.422;7.02642;17.9686;20.3376;5.86875;4.24636;4.24636;0;2270;0.858455;26.4447;63.4349;29.7449;28.0725;175.682;3;3;0;3;3;0;22;0;126
9;3.4335923;8.6936964;465976.69;379525.12;766.58;996.85;1.303128;1288.0971;813.65295;1601.1506;1221.7725;799.59972;1657.4987;1289.1167;1667.6978;847;0.349243;0.8592079;1045.9338;1392.252;865;0.427411;0.67390181;926.30362;1317.8859;230.271;189.823;176.266;188.108;0.14069288;0.086151539;0.072650358;0.085097426;1.6762451;1.1964739;1.88288;1.47156;0.14736671;0.13684193;0.14603565;0.71912564;0.263707;36.5609;22.0831;23.5736;7.95515;20.6871;21.8054;7.91512;19.8838;20.7477;7.98334;22.8692;24.589;7.31835;23.571;25.2168;7.7321;858;0.397012;26.5593;79.1145;73.0725;76.2637;80.9831;9;4;5;4;2;2;19;131;231
10;3.415671;8.668099;463132.69;377545.12;893.259;1021.51;0.224856;535.06592;347.64677;643.17851;477.81014;256.43182;720;484.87442;728.94445;982;0.691933;0.059846487;276.0415;340.0169;987;0.730919;0.049540532;251.15128;306.47983;128.251;70.6903;61.4906;80.6921;0.016923322;0.007168996;0.005756;0.007250742;1.8559841;1.1711796;1.49377;1.07104;0.13211514;0.11492154;0.15080784;0.4693838;2.30011;38.9901;18.7955;18.5574;6.65979;19.1586;18.5574;6.98865;19.305;18.6966;6.9907;16.702;15.7059;6.87134;17.3433;18.5681;4.94848;987;0.730919;22.5375;19.6538;36.8699;32.9052;60.6247;3;3;0;0;0;0;6;34;129
